BHK,Size,Bathroom,Area Type_Built Area,Area Type_Carpet Area,Area Type_Super Area,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Furnished,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner
3,1250,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
3,3500,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,100,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,1200,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,1500,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,400,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,400,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
3,1800,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
1,430,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
3,165,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,450,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,400,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3,1915,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2,850,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
2,1100,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,455,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3,2000,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1,400,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,400,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,400,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,550,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
3,970,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1,450,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
2,1400,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2,800,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
